,label,content
0,Negative,"Tidak pernah sempurna. Dulu sulit login, pas bisa, jadi sulit beri tanggapan, nanti apalagi.. dan muternya lama alias lola, berasa berattt. Kurang membantu, padahal harapan masyarakat, supaya terbantu. Buat aplikasi kan nggak murah, tapi kok begini ya."
1,Negative,"Eror terus ketika pengajuan usulan, sinyal stabil tapi tetap eror, ga jelas. Tolong di perbaiki, di aplikasi ada keterang error hubungi admin, tapi di dalam aplikasi tidak ada pengaturan untuk menghubungi admin, tolong di teliti lagi dalam membuat sebuah aplikasi. Terimakasih"
2,Negative,"Buruk banget aplikasi ini, emangnya tidak ada apa yang mengatasi masalah aplikasinya, sekelas kemensos masak punya sistem begini parah!. Sangat lama saya tunggu verifikasinya belum juga dikirim lewat email emangnya ini seperti pengurusan di desa ya yang lama banget prosesnya padahal pengiriman pesan otomatis lewat aplikasi bekerja bisa 24 jam, ini bisa pula ada jedanya hadeh"
3,Negative,"Sudah Updated versi Terakhir tapi Tetap Tidak bisa Dibuka Aplikasinya. Saya hanya tinggal Verifikasi lewat Aplikasi ini (Sudah dapat email ke 2 dari Kemensos untuk Verifikasi lewat Aplikasi). Setiap saya masuk ke Aplikasi selalu ada Tulisan : ERROR JSON PARSE. Akhirnya saya coba pilihan di Aplikasi untuk Mengganti Password (Lupa Password), lalu saya Dapat Balasan Email dan ada Perintah Klik Link dibawah tapi Setelah saya Klik Link di Email Juga Error/Tidak ada Websitenya??! Tolong Diperbaiki!"
4,Negative,"Tidak bisa login, padahal email dan password sdh benar, sdh dapat email akun sdh diverifikasi, tapi saat mencoba reset password, link yg dikirim ke email,saat di klik, muncul tulisan SITUS TIDAK BISA DIJANGKAU. Wkwkwkwkwk"
5,Negative,"Aplikasi nya gak bisa digunakan buat tambah usulan, karena error terus menerus. Udah tiap hari dicoba, pagi, siang, sore, malam, subuh, tiap menit, tiap detik, tiap jam, tetap error. Udah bosan sama aplikasi yang beginian, sama aja gak guna, yang download juga jadi tidak puas, yang ada sakit hati. Tolong di perbaiki, supaya jangan error error mulu."
6,Negative,Aplikasinya kenapa sih? Dulu waktu baru instal gabisa login krn disitu tulisannya tidak ada koneksi pd kuota penuh trs skrg udh diupdate baru bisa. Eh bagian mau ngusulin udh selesai data semuanya malah tulisannya error harap hubungin admin. Gimana sih ini bikin apk nya nanggung2. Tolong bgt dong diperbaikin
7,Negative,"Agak kecewa sih aplikasi nya bisa dibilang gak stabil,apalagi pas mau login tuh ada aja kendalanya, entah itu koneksi sinyalnya,ataupun json parse, minimal kasih panduan lah buat mengatasi itu,mohon cepat diperbaiki sihh."
8,Negative,"Aplikasi sering error, tidak ada admin atau nomor kontak yang bisa dihubungi untuk memperbaiki eror maupun admin untuk membantu cara mendaftarkan diri secara mandiri atau mengajukan usul. Meskipun ada fitur pengajuan atau penyanggahan, tapi beberapa pengguna masih sering kebingungan untuk mendaftarkan diri. Sangat tidak relevan."
9,Neutral,"Sekedar mengingatkan.. Bagi teman² yang juga menggunakan aplikasi cek bansos yang jaringannya error setiap x masuk, coba lagi sekarang, saya sudah coba masuk hampir 1 bulan tetap error tapi alhamdulillah kemarin sudah bisa masuk dan memilih... Selamat mencoba para pejuang bansos...!!"
10,Positive,"App sudah berfungsi dgn baik dan bagus,sbg masukan data nama yg terlihat sbaiknya tidak berdasarkn propinsi,kecamatan dan kelurahan saja tp dilengkapi dgn dusun dan Rt.saat akan melakukan penilaian kelayakan serto upload foto keadaan orngnya akan tepat dan tdk salah orang, krn dlm satu kelurahan ada nama yg sama jg."
11,Negative,"App awalnya bisa dibuka tapi akhirnya sudah masuk ke Menu ""Tambah Usulan"", selalu tidak bisa.. pas di klik ""Tambah Usulan"" selalu muncul ""error Json Perse"".. hanya mau tanya, tujuan dari aplikasi ini untuk apa..??🤦🤦🤦"
12,Negative,"Aplikasi sangat tidak mumpuni, pendaftaran ke verifikasi data sangat lama berbulan bulan dan setelah aplikasi bisa digunakan mulai bulan september error tidak dapat digunakan. BERIKAN PELAYANAN TERBAIK UNTUK BENAR BENAR DIGUNAKAN. TERIMAKASIH"
13,Negative,"Aplikasi gak jelas!!! Username sudah bener dan pasword jga sudah bener pas mau login malah gak bisa, kata nya username dan pasword anda tidak d temukan. Lahh trus data yg sudah kita isi sesuai kk apa gak si salah gunakan oleh mreka, dan jgn"" Mreka hanya butuh data kita buat kepentingan pribadi"
14,Negative,"Ini aplikasi masih beroperasi ga sih? udah beberapa kali install dan daftar ulang ada aja gejalanya, mau ngisi kolom alamat aja susah minta ampun ,error dan error terus ,mending segera perbaiki!! kalo malas memperbaiki mending ni aplikasi ga usah ada aja!!"
15,Negative,"Aplikasi bodoh!!! Kami tu download apk ini dan mendaftarkan diri sebagai ""penerima bansos"" karna memang kami memenuhi syarat. Tapi kenapa pas membuat akun nya malah kami dipersulit??!!! Yg apk nya error lah, gak bisa masukkan kecamatan lah, loading lama lah.. Heran.. Sampek ulang kali kami mengisi data diri. Kalo gak bisa digunakan ni apk, yaa bagus dihapus aja!!"
16,Neutral,"Gabisa login atau buat akun baru, kenapa ya.. Mohon beri keterangan dan dipermudah aplikasinya, sangat berharap kepada pemerintah tp kesulitan untuk mendaftarkan diri. Trimakasih banyak.. Semoga ada jalan terang"
17,Negative,"Udah dari sebulan lalu coba masuk nggak bisa,alasan user name dan pswd tdk ditemukan/belum aktifasi. Padahal udah dpt email kalo sudah aktif,trus gimana solusinya ini? Dari sekian banyak rating 1 karena aplikasi error dan butuh batuan tapi nggak ada yg dibales sama admin."
18,Negative,Aplikasi aneh..gua baru daftar hari ini di apk ini..tapi jawaban nya nik sudah terdaftar.dan tinggal login..sementara user id sama password nya gak tau..harus log in pake metode apa coba.. Coba deh di perbaiki lagi sistem dan opsi buat login nya..jangan hanya menggunakan satu metode login user id aja..pake no tlp.gmail atau yg lain nya..bia org yg lupa user id bisa terbantu.. Itu juga kalo niat nya membantu
19,Negative,"Aplikasi sampah!!! Benar"" Kecewa Pendaftaran akun sukses. Ketika login berkali-kli malh gk bs, keterangannya belum aktifasi. Klau blm aktif knapa pas sukses daftar, selfi serta foto KTP keterangan nya berhasil?"
20,Negative,Mau daftar aja error terus padahal sinyal udah bagus. Developer dan tim IT tolong aplikasinya dibenahin lagi percuma banyak yang ga bisa menggunakan karna aplikasi tidak berjalan dengan baik
